(67727916,390437487)
(461646275,-77301303)
(-409256294,-844594587)
(-13136824,-429796241)
(203854215,-355179972)
(164609600,-548699065)
(-774533638,-48369686)
(-858825888,383184144)
(746716896,438224964)
(119118293,-397061375)
(118750574,-395835645)
(257554190,-858514365)
(637931860,434536997)
(-759116632,-274942607)
(-329773511,-837804498)
(-224063908,472030536)
(535456351,198392523)
(37901828,-126339825)
(40492162,594337735)
(-558370910,-764618986)
(212110433,-707035175)
(574018169,147248419)
(-256687557,-794892618)
(155159165,-517197615)
(839207703,119782166)
(-582526241,144988351)
(-566245798,-702605158)
(-109800033,-155226279)
(-828512461,663206182)
(178082387,-593608355)
(-135464178,-839878210)
(252424865,-841416615)
(95670164,-318900945)
(135853913,-452846775)
(-316804597,677752196)
(412694390,715783514)
(61410692,-204702705)
(-662563388,713412272)
(189286886,-630956685)
(752346003,683980333)
(52146548,-173822225)
(-814685133,556989767)
(-328293366,-334837709)
(244260944,-814203545)
(493155497,188819839)
(-830842663,85080425)
(-512012438,-519049919)
(269642559,-588794612)
(517710872,-63699930)
(402035285,759697110)
(-431921960,42698637)
(28155131,-93850835)
(999541640,295216585)
(-261799156,872663455)
(124956017,-416520455)
(102266915,-340890115)
(87152597,-290509055)
(767227197,-574669411)
(636220041,968247066)
(-305159101,-597424633)
(104178026,-347260485)
(588740057,-601678239)
(425973967,303386990)
(60476045,-201587215)
(284511260,-948371265)
(191151371,-637171635)
(201338675,-671129315)
(880646674,928387918)
(-918207621,675636454)
(883290012,739664102)
(-760317117,-196430313)
(-958207804,514212677)
(129112196,-430374385)
(213289217,-710964455)
(498055315,-291658848)
(182186936,-607290185)
(89502770,-298342965)
(267200507,-890668755)
(797910605,985034915)
(290300831,-967669835)
(-291381748,-944794674)
(-82183439,-66924770)
(216083663,-720279275)
(227222225,-757407815)
(152744354,-509148245)
(424635194,-93428342)
(195143276,-650477985)
(-58715066,958447060)
(91726674,-840541565)
(898518046,-397723728)
(-290425760,-809474227)
(182001248,-606671225)
(-363170906,-535678071)
(244469974,-723184970)
(-178235293,365864769)
(-571693298,260131906)
(15519752,-51732905)
(-950981617,714995680)
(285412613,-951375775)
(320680602,283056265)
(256884248,-856281225)
(-889146884,302534512)
(183043283,-610144675)
(28218137,-94060855)
(-792281969,-339550197)
(289010382,-904799197)
(-181700367,-942952341)
(-590793422,-862287109)
(-620590536,682499875)
(728636616,-750338511)
(58786460,-656608544)
(464571468,-626579107)
(269918051,-899727235)
(-227743069,759143165)
(-982926056,71857451)
(220924229,-736414495)
(-662241834,-337347532)
(291610910,-972036765)
(26656172,-88854305)
(-554526738,-154177786)
(7094102,-23647405)
(237727121,-792424135)
(-440334678,565170037)
(903597868,652791420)
(630080704,-20447840)
(661530750,-363967610)
(-334934074,-13615962)
(24157704,-458898869)
(-757296848,-531021898)
(451799725,352747362)
(134565320,-448551465)
(569872779,996305725)
(963743682,951254754)
(-878715158,98799700)
(-352756482,62387401)
(33338996,-111130385)
(176225450,-587418565)
(-408035386,210758247)
(822931444,-192814516)
(163421965,-188650106)
(77900276,-259667985)
(257875619,-859585795)
(-249705430,832351035)
(324339506,94636640)
(134827592,-449425705)
(80355110,-267850765)
(113734616,-379115785)
(205249235,-864503476)
(109945022,-366483805)
(-626935230,280962066)
(-422937766,527732979)
(269710370,-899034965)
(-106647822,-772333719)
(-682155888,347243712)
(33425590,782855382)
(214123133,-713744175)
(43669958,-145566925)
(203404911,849646590)
(-185071258,-463021099)
(-103790240,-410889231)
(-901286423,-418669370)
(240173846,-800579885)
(27808562,-92695605)
(857000248,970541186)
(325645394,-893208663)
(974541062,858651171)
(216369109,-685060161)
(526468783,882253366)
(36224486,-120748685)
(-308190670,775657489)
(-310800626,853314476)
(-984383367,387830040)
(609594429,361887412)
(-520096070,-500779821)
(788459359,-226748860)
(244963193,-816544375)
(110200691,-367336035)
(-797965952,-868781301)
(262916117,-876387455)
(267092174,-890307645)
(225359975,-751200315)
(225601262,-752004605)
(69466265,-231554615)
(95032607,-316775755)
(364200492,229014231)
(147948389,-493161695)
(193059395,-643531715)
(-268632580,-801229925)
(-124509198,89121512)
(41221856,-137406585)
(-14786919,-798240700)
(277124345,-923748215)
(-218354500,727847935)
(188786495,-629288715)
(223825259,-746084595)
(165819026,-552730485)
(-220941841,736472405)
(-958591764,34888442)
(608713808,-625850424)
(104693162,-348977605)
(206585687,-688619355)
(-761198289,-612942253)
(724832546,-893990608)
(128241966,425705016)
(-605534772,-796248899)
(84224324,-280748145)
(14941316,-49804785)
(68371748,-227906225)
(162210275,-540701315)
(215010776,-716702985)
